category,id,product_name,revenue,category_revenue,share_percent
"Baked Goods & Mixes",19,"Northwind Traders Chocolate Biscuits Mix",690,890,77.5
"Baked Goods & Mixes",21,"Northwind Traders Scones",200,890,22.5
Beverages,43,"Northwind Traders Coffee",14950,22636,66
Beverages,34,"Northwind Traders Beer",6818,22636,30.1
Beverages,81,"Northwind Traders Green Tea",598,22636,2.6
Beverages,1,"Northwind Traders Chai",270,22636,1.2
Candy,48,"Northwind Traders Chocolate",2550,2550,100
"Canned Fruit & Vegetables",17,"Northwind Traders Fruit Cocktail",1560,1560,100
"Canned Meat",40,"Northwind Traders Crab Meat",1472,1472,100
Condiments,4,"Northwind Traders Cajun Seasoning",660,1160,56.9
Condiments,3,"Northwind Traders Syrup",500,1160,43.1
"Dairy products",72,"Northwind Traders Mozzarella",3132,3132,100
"Dried Fruit & Nuts",51,"Northwind Traders Dried Apples",2120,3660,57.9
"Dried Fruit & Nuts",7,"Northwind Traders Dried Pears",1200,3660,32.8
"Dried Fruit & Nuts",74,"Northwind Traders Almonds",200,3660,5.5
"Dried Fruit & Nuts",80,"Northwind Traders Dried Plums",140,3660,3.8
Grains,52,"Northwind Traders Long Grain Rice",280,280,100
"Jams, Preserves",20,"Northwind Traders Marmalade",3240,5490,59
"Jams, Preserves",6,"Northwind Traders Boysenberry Spread",2250,5490,41
Oil,5,"Northwind Traders Olive Oil",533.75,533.75,100
Pasta,57,"Northwind Traders Ravioli",1950,1950,100
Pasta,56,"Northwind Traders Gnocchi",0,1950,0
Sauces,8,"Northwind Traders Curry Sauce",1800,1800,100
Soups,41,"Northwind Traders Clam Chowder",2798.5,2798.5,100
